Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:BAKERY [J](Hourly),Electricity:Zone:DELI [J](Hourly),Electricity:Zone:DRYSTORAGE [J](Hourly),Electricity:Zone:OFFICE [J](Hourly),Electricity:Zone:PRODUCE [J](Hourly),Electricity:Zone:SALES [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/17  13:00:00,869631385,541876363.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,330322961.5,224879776.8,102875244.7,102716325,158919.6955,0,226391112.5,149046913.4,824518106.8,782494606.4,37827000,4196500.37,,,,,,,,,,,,,,,,,,,
 01/17  14:00:00,858704774.8,541200725.8,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,329647323.8,214663964.9,102840084,102716325,123759.0565,0,226391112.5,149046913.4,812767084.4,766620666.5,37827000,8319417.881,,,,,,,,,,,,,,,,,,,
 01/17  15:00:00,844037148.3,541045819.9,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,329492417.8,200275003.5,102716325,102716325,0,0,226391112.5,149046913.4,802833127,760811348.3,37827000,4194778.652,,,,,,,,,,,,,,,,,,,
 01/17  16:00:00,844329769.3,541380411.8,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,329827009.8,188013732.5,102716325,102716325,0,0,226391112.5,149046913.4,790111372.9,748089500,37827000,4194872.949,,,,,,,,,,,,,,,,,,,
 01/17  17:00:00,881339486.4,541765694.2,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,330212292.2,187980267.2,102716325,102716325,0,0,226391112.5,149046913.4,799934475.6,757912982.9,37827000,4194492.79,,,,,,,,,,,,,,,,,,,
 01/17  18:00:00,881004932.7,541686983.3,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,330133581.2,187724424.4,102716325,102716325,0,0,226391112.5,149046913.4,820877106.6,778855064.9,37827000,4195041.734,,,,,,,,,,,,,,,,,,,
 01/17  19:00:00,875998940.9,531865213.9,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,363972264.1,192540202.1,102716325,102716325,0,0,150927408.4,132695745.2,852532033,814713826.3,33624000,4194206.753,,,,,,,,,,,,,,,,,,,
 01/17  20:00:00,797894898.4,429501851.5,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,261608901.7,216799522,102716325,102716325,0,0,150927408.4,132695745.2,882137725.3,844320028.6,33624000,4193696.683,,,,,,,,,,,,,,,,,,,
 01/17  21:00:00,708078203.4,380758533.8,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,235317885.6,175726144.7,102716325,102716325,0,0,125772840.3,116344577.1,899756621.4,866141623.3,29421000,4193998.143,,,,,,,,,,,,,,,,,,,
 01/17  22:00:00,506106137,236797953.2,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,158714209.7,117714658.8,102716325,102716325,0,0,50309136.12,67291072.6,797820067.6,776814935.4,16812000,4193132.173,,,,,,,,,,,,,,,,,,,
 01/17  23:00:00,315192914.9,157662176.9,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,121067398.8,108653538,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/17  24:00:00,439675850.3,266273986,9339544.381,14231988.57,4577230.491,705545.483,9849493.152,227570184,124524664.2,0,0,0,0,12577284.03,32702336.3,12597551.55,0,8406000,4191551.549,,,,,,,,,,,,,,,,,,,
 01/18  01:00:00,328017519.8,154400041.7,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,117805263.6,124740278.1,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/18  02:00:00,300361088.3,151270902.9,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,114676124.8,100212985.4,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/18  03:00:00,296631047.7,148807458.7,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,112212680.6,98946389.01,0,0,0,0,12577284.03,32702336.3,12597282.12,0,8406000,4191282.122,,,,,,,,,,,,,,,,,,,
 01/18  04:00:00,293815850.6,147000343,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,110405565,97938307.57,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/18  05:00:00,346231043.7,146363281.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,109768503.4,121709423.4,29281138.81,29281138.81,0,0,12577284.03,32702336.3,50606926.83,42128926.83,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/18  06:00:00,359523272.4,146634609.2,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,110039831.1,120089755,43921708.22,43921708.22,0,0,12577284.03,32702336.3,88376433.87,75779092.76,8406000,4191341.103,,,,,,,,,,,,,,,,,,,
 01/18  07:00:00,505868107.9,226428129.5,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,148344386,127846453.4,102716325,102716325,0,0,50309136.12,67291072.6,1393189680,1376305680,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/18  08:00:00,518215085.4,228626940.2,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,150543196.6,162433220.2,102716325,102716325,0,0,50309136.12,67291072.6,1265133575,1248249575,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/18  09:00:00,767737502.1,477293423.5,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,331852775.3,187727753.6,102716325,102716325,0,0,125772840.3,116344577.1,1142203523,1108589657,29421000,4192865.996,,,,,,,,,,,,,,,,,,,
 01/18  10:00:00,859580621.8,537201253,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,325647850.9,219663043.9,102716325,102716325,0,0,226391112.5,149046913.4,1017919209,975898848.9,37827000,4193360.585,,,,,,,,,,,,,,,,,,,
 01/18  11:00:00,825582016.5,538587629.2,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,327034227.1,184278062.3,102716325,102716325,0,0,226391112.5,149046913.4,981641716.3,939620025.4,37827000,4194690.866,,,,,,,,,,,,,,,,,,,
 01/18  12:00:00,935725334.3,649492841.6,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,435830415.5,183516167.7,102716325,102716325,0,0,226391112.5,149046913.4,940523311.7,898500621.6,37827000,4195690.1,,,,,,,,,,,,,,,,,,,
 01/18  13:00:00,865826214,541213718.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,329660316.6,221896170.3,102716325,102716325,0,0,226391112.5,149046913.4,927774210.3,881626490.7,37827000,8320719.583,,,,,,,,,,,,,,,,,,,
 01/18  14:00:00,855661778.3,541025132.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,329471730.7,211920320.6,102716325,102716325,0,0,226391112.5,149046913.4,914674613.6,872652034.4,37827000,4195579.215,,,,,,,,,,,,,,,,,,,
 01/18  15:00:00,840425561.6,540312520.2,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,328759118.2,197396716.4,102716325,102716325,0,0,226391112.5,149046913.4,912660059.4,866515583.7,37827000,8317475.651,,,,,,,,,,,,,,,,,,,
 01/18  16:00:00,839613965.5,539862135.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,328308733.3,184816205.2,102716325,102716325,0,0,226391112.5,149046913.4,896527303.7,854505669.9,37827000,4194633.792,,,,,,,,,,,,,,,,,,,
 01/18  17:00:00,875375704.4,539306686.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,327753284.3,184475493.1,102716325,102716325,0,0,226391112.5,149046913.4,903316360.4,861294205.4,37827000,4195155.067,,,,,,,,,,,,,,,,,,,
 01/18  18:00:00,873812613.9,538308299.3,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,326754897.2,183910789.6,102716325,102716325,0,0,226391112.5,149046913.4,920858196.5,878836357.4,37827000,4194839.098,,,,,,,,,,,,,,,,,,,
 01/18  19:00:00,868389621.3,527654022.2,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,359761072.4,189142074.1,102716325,102716325,0,0,150927408.4,132695745.2,948650705.6,910831954.4,33624000,4194751.18,,,,,,,,,,,,,,,,,,,
 01/18  20:00:00,811942487.8,424642552.3,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,256749602.6,235706410.5,102716325,102716325,0,0,150927408.4,132695745.2,976297310.4,938479313.8,33624000,4193996.56,,,,,,,,,,,,,,,,,,,
 01/18  21:00:00,719992377.8,375089392.7,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,229648744.5,193309460.2,102716325,102716325,0,0,125772840.3,116344577.1,992674118.4,959059535,29421000,4193583.436,,,,,,,,,,,,,,,,,,,
 01/18  22:00:00,512498318.6,229837241.9,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,151753498.4,131067551.7,102716325,102716325,0,0,50309136.12,67291072.6,902568770,885684770,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/18  23:00:00,303507036.1,150240630.1,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,113645852,104389206,0,0,0,0,12577284.03,32702336.3,12598225.83,0,8406000,4192225.827,,,,,,,,,,,,,,,,,,,
 01/18  24:00:00,430237751.6,259406214.9,9339544.381,14231988.57,4577230.491,705545.483,9849493.152,220702412.8,121954336.8,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/19  01:00:00,317246557,147874069.6,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,111279291.5,120495287.4,0,0,0,0,12577284.03,32702336.3,12597227.67,0,8406000,4191227.673,,,,,,,,,,,,,,,,,,,
 01/19  02:00:00,290619911.6,145133950.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,108539172.4,96608761.14,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/19  03:00:00,316679002.3,142911453,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,106316674.9,95609210.45,29281138.81,29281138.81,0,0,12577284.03,32702336.3,56600883.83,48122883.83,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/19  04:00:00,316115834.7,142183426,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,105588647.9,95774069.83,29281138.81,29281138.81,0,0,12577284.03,32702336.3,65108774.75,52511440.75,8406000,4191334.002,,,,,,,,,,,,,,,,,,,
 01/19  05:00:00,353916480.4,142063623.9,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,105468845.8,119053948.3,43921708.22,43921708.22,0,0,12577284.03,32702336.3,100122515.4,91644515.43,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/19  06:00:00,352909485.3,142141991.1,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,105547213,117968586,43921708.22,43921708.22,0,0,12577284.03,32702336.3,98160171.94,89682171.94,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/19  07:00:00,500207881.7,222494467,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,144410723.5,126119889.8,102716325,102716325,0,0,50309136.12,67291072.6,1465998107,1444994799,16812000,4191307.844,,,,,,,,,,,,,,,,,,,
 01/19  08:00:00,513446759.7,225444216.9,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,147360473.4,160847617.8,102716325,102716325,0,0,50309136.12,67291072.6,1298306976,1281422976,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/19  09:00:00,767914641,476849516.3,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,331408868.1,188348799.7,102716325,102716325,0,0,125772840.3,116344577.1,1132150939,1098537105,29421000,4192833.52,,,,,,,,,,,,,,,,,,,
 01/19  10:00:00,865960389.8,540204597.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,328651195.7,222863571.5,102892220.6,102716325,175895.615,0,226391112.5,149046913.4,971011865.3,928991254,37827000,4193611.25,,,,,,,,,,,,,,,,,,,
 01/19  11:00:00,837634810.3,545221933.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,333668531.7,189517873.3,102895003.3,102716325,178678.3365,0,226391112.5,149046913.4,908421353.5,866399939.3,37827000,4194414.21,,,,,,,,,,,,,,,,,,,
 01/19  12:00:00,949139064.1,658297263.2,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,444634837.2,187957052.3,102884748.6,102716325,168423.6269,0,226391112.5,149046913.4,852726430.1,810703765.4,37827000,4195664.636,,,,,,,,,,,,,,,,,,,
 01/19  13:00:00,883532198.1,551068447.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,339515045.4,229625344.5,102838406.1,102716325,122081.1041,0,226391112.5,149046913.4,820215516.1,778192253.3,37827000,4196262.823,,,,,,,,,,,,,,,,,,,
 01/19  14:00:00,875398209.2,552086054.1,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,340532652.1,220595830.1,102716325,102716325,0,0,226391112.5,149046913.4,799898897.5,753751790.7,37827000,8320106.739,,,,,,,,,,,,,,,,,,,
 01/19  15:00:00,862298714.2,552894282.1,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,341340880.1,206688107.1,102716325,102716325,0,0,226391112.5,149046913.4,778865506.7,736843766.2,37827000,4194740.514,,,,,,,,,,,,,,,,,,,
 01/19  16:00:00,863493998.6,553648086.2,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,342094684.1,194910287.5,102716325,102716325,0,0,226391112.5,149046913.4,755236442,713214523.8,37827000,4194918.144,,,,,,,,,,,,,,,,,,,
 01/19  17:00:00,901307548.9,554321973.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,342768571.3,195392050.6,102716325,102716325,0,0,226391112.5,149046913.4,750605099.5,708583572,37827000,4194527.517,,,,,,,,,,,,,,,,,,,
 01/19  18:00:00,901148446.8,554194459.8,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,342641057.7,195360462,102716325,102716325,0,0,226391112.5,149046913.4,764224707.7,718079958.8,37827000,8317748.877,,,,,,,,,,,,,,,,,,,
 01/19  19:00:00,893862507.7,543935441.7,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,376042491.9,198333541,102716325,102716325,0,0,150927408.4,132695745.2,778735770.5,740917251.8,33624000,4194518.733,,,,,,,,,,,,,,,,,,,
 01/19  20:00:00,842202424.8,441194746.5,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,273301796.7,249414153.3,102716325,102716325,0,0,150927408.4,132695745.2,799195545.2,761377903.7,33624000,4193641.484,,,,,,,,,,,,,,,,,,,
 01/19  21:00:00,748780864.6,391842726.6,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,246402078.4,205344613,102716325,102716325,0,0,125772840.3,116344577.1,809768369.5,780275369.5,29421000,72000,,,,,,,,,,,,,,,,,,,
 01/19  22:00:00,538282806.2,247023977.1,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,168940233.6,139613774.1,102767855,102716325,51530.02894,0,50309136.12,67291072.6,699151832.8,678146791.4,16812000,4193041.403,,,,,,,,,,,,,,,,,,,
 01/19  23:00:00,331577144.6,168719581.9,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,132124803.8,113980362.8,0,0,0,0,12577284.03,32702336.3,12598100.75,0,8406000,4192100.754,,,,,,,,,,,,,,,,,,,
 01/19  24:00:00,454623466.5,277861994.1,9339544.381,14231988.57,4577230.491,705545.483,9849493.152,239158192,127884272.4,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/20  01:00:00,342594415.2,163722096.9,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,127127318.8,129995118.3,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/20  02:00:00,312250356.9,158514783,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,121920004.9,104858373.9,0,0,0,0,12577284.03,32702336.3,12597487.53,0,8406000,4191487.529,,,,,,,,,,,,,,,,,,,
 01/20  03:00:00,307119331.9,155250670.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,118655892.4,102991461.4,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/20  04:00:00,302785313.2,152549108.1,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,115954330,101359005.1,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/20  05:00:00,379669193.4,150279730.1,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,113684952,180512263.3,0,0,0,0,12577284.03,32702336.3,12597218.71,0,8406000,4191218.705,,,,,,,,,,,,,,,,,,,
 01/20  06:00:00,406754122.9,148690256,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,112095477.9,179905528.1,29281138.81,29281138.81,0,0,12577284.03,32702336.3,48761365.72,40283365.72,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/20  07:00:00,567547626.2,227935696.5,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,149851953,188018404.7,102716325,102716325,0,0,50309136.12,67291072.6,1377037654,1360153654,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/20  08:00:00,553481832,229596947.2,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,151513203.7,196729959.9,102716325,102716325,0,0,50309136.12,67291072.6,1226199628,1205195331,16812000,4192297.449,,,,,,,,,,,,,,,,,,,
 01/20  09:00:00,770087559.2,478083103.1,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,332642454.9,189288131.1,102716325,102716325,0,0,125772840.3,116344577.1,1057003771,1027510771,29421000,72000,,,,,,,,,,,,,,,,,,,
 01/20  10:00:00,861856497.4,537851733.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,326298331.5,221071851.3,102932912.5,102716325,216587.5472,0,226391112.5,149046913.4,922407943.1,880387290.6,37827000,4193652.453,,,,,,,,,,,,,,,,,,,
 01/20  11:00:00,828290792.6,539083173.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,327529771.4,186297955.9,102909663.3,102716325,193338.3128,0,226391112.5,149046913.4,850244185,808223144.1,37827000,4194040.917,,,,,,,,,,,,,,,,,,,
 01/20  12:00:00,937281732.3,649273852.2,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,435611426.1,185095793.9,102912086.2,102716325,195761.1821,0,226391112.5,149046913.4,793676501,747530203.8,37827000,8319297.173,,,,,,,,,,,,,,,,,,,
 01/20  13:00:00,866315788.1,539812315.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,328258913.4,223632887.6,102870585.1,102716325,154260.1454,0,226391112.5,149046913.4,761060774.2,719037407.2,37827000,4196367.042,,,,,,,,,,,,,,,,,,,
 01/20  14:00:00,854852191.4,538751436.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,327198034.5,213329562.2,102771192.7,102716325,54867.71734,0,226391112.5,149046913.4,774347395.9,728201223.3,37827000,8319172.575,,,,,,,,,,,,,,,,,,,
 01/20  15:00:00,838800408.6,537807542.2,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,326254140.1,198276541.5,102716325,102716325,0,0,226391112.5,149046913.4,788915355.5,746893688.8,37827000,4194666.662,,,,,,,,,,,,,,,,,,,
 01/20  16:00:00,837531561.8,537370779.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,325817377.6,185225157.1,102716325,102716325,0,0,226391112.5,149046913.4,798153770.2,756132000.2,37827000,4194769.988,,,,,,,,,,,,,,,,,,,
 01/20  17:00:00,873389851.8,537127908.7,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,325574506.6,184668418.1,102716325,102716325,0,0,226391112.5,149046913.4,820332588.7,778311191.6,37827000,4194397.098,,,,,,,,,,,,,,,,,,,
 01/20  18:00:00,872882470.7,537074634.5,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,325521232.5,184214311.1,102716325,102716325,0,0,226391112.5,149046913.4,852308594.3,810286637.8,37827000,4194956.544,,,,,,,,,,,,,,,,,,,
 01/20  19:00:00,868554649.3,527340676.7,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,359447727,189620447.6,102716325,102716325,0,0,150927408.4,132695745.2,891231937.8,853413810.6,33624000,4194127.25,,,,,,,,,,,,,,,,,,,
 01/20  20:00:00,789223410.1,425065914.8,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,257172965,212563970.4,102716325,102716325,0,0,150927408.4,132695745.2,929245925,891428301.5,33624000,4193623.514,,,,,,,,,,,,,,,,,,,
 01/20  21:00:00,698383586,375459845.1,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,230019196.9,171330215.9,102716325,102716325,0,0,125772840.3,116344577.1,958650289.1,925035354.4,29421000,4193934.7,,,,,,,,,,,,,,,,,,,
 01/20  22:00:00,495110341.7,229757128,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,151673384.5,113759688.7,102716325,102716325,0,0,50309136.12,67291072.6,878658763.5,857653691.9,16812000,4193071.595,,,,,,,,,,,,,,,,,,,
 01/20  23:00:00,302618257.6,149678939.3,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,113084161.2,104062118.3,0,0,0,0,12577284.03,32702336.3,8478000,0,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/20  24:00:00,429241842.4,258731929.7,9339544.381,14231988.57,4577230.491,705545.483,9849493.152,220028127.6,121632712.7,0,0,0,0,12577284.03,32702336.3,12597804.06,0,8406000,4191804.065,,,,,,,,,,,,,,,,,,,
 01/21  01:00:00,308489667.5,139082960.6,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,108412295.6,120529507,0,0,0,0,12577284.03,24526752.23,6376500,0,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/21  02:00:00,281748390.8,136409343.9,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,105738678.9,96461846.95,0,0,0,0,12577284.03,24526752.23,10496348.62,0,6304500,4191848.617,,,,,,,,,,,,,,,,,,,
 01/21  03:00:00,292931273.6,134183239,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,103512574,95230265.23,14640569.41,14640569.41,0,0,12577284.03,24526752.23,36537325.09,30160825.09,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/21  04:00:00,321000774.5,132774324.3,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,102103659.3,95427542.04,43921708.22,43921708.22,0,0,12577284.03,24526752.23,91588091.33,85211591.33,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/21  05:00:00,329477938.9,132371867.1,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,101701202.1,118947733,29281138.81,29281138.81,0,0,12577284.03,24526752.23,76305974.16,65809951.79,6304500,4191522.375,,,,,,,,,,,,,,,,,,,
 01/21  06:00:00,342180263.2,132404495.9,7315624.381,9944064.569,3673873.923,576493.986,9160608.119,101733830.9,116976859.1,43921708.22,43921708.22,0,0,12577284.03,24526752.23,118084914.9,111708414.9,6304500,72000,,,,,,,,,,,,,,,,,,,
 01/21  07:00:00,446875532.4,172796117.6,14086928.76,19150561.14,7347747.846,1152987.972,13893216.24,117164675.7,122485889.8,102716325,102716325,0,0,25154568.06,50939904.45,1537815078,1525134078,12609000,72000,,,,,,,,,,,,,,,,,,,
 01/21  08:00:00,456429091.4,173590756.3,14086928.76,19150561.14,7347747.846,1152987.972,13893216.24,117959314.4,155683410.1,102716325,102716325,0,0,25154568.06,50939904.45,1391574427,1374773017,12609000,4192409.647,,,,,,,,,,,,,,,,,,,
 01/21  09:00:00,661173485.4,375548648.2,24980786.28,30999747.41,14816390.99,2426551.94,27312568.45,275012603.2,182908512.2,102716325,102716325,0,0,75463704.18,83642240.75,1256929027,1231721320,21015000,4192707.116,,,,,,,,,,,,,,,,,,,
 01/21  10:00:00,729026241.1,421344750,41321572.57,48773526.82,26019355.72,4336897.892,47441596.77,253451800.3,204965166.1,102716325,102716325,0,0,150927408.4,132695745.2,1103399962,1069703962,33624000,72000,,,,,,,,,,,,,,,,,,,
 01/21  11:00:00,822697690.1,536754432.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,325201030.4,183168510.2,102774747.5,102716325,58422.53183,0,226391112.5,149046913.4,1011418871,965275115.6,37827000,8316755.512,,,,,,,,,,,,,,,,,,,
 01/21  12:00:00,935927835.6,649441039.3,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,435778613.2,183624189.1,102862607.2,102716325,146282.2483,0,226391112.5,149046913.4,942996489.3,900974594.4,37827000,4194894.867,,,,,,,,,,,,,,,,,,,
 01/21  13:00:00,869113981.8,542845763,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,331292360.9,223418818,102849400.8,102716325,133075.8685,0,226391112.5,149046913.4,907209487.2,865187127,37827000,4195360.189,,,,,,,,,,,,,,,,,,,
 01/21  14:00:00,861177759.6,544270998.3,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,332717596.2,214133348.4,102773412.8,102716325,57087.87687,0,226391112.5,149046913.4,890703227,844556754.8,37827000,8319472.185,,,,,,,,,,,,,,,,,,,
 01/21  15:00:00,847352160.7,544613530.6,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,333060128.5,200022305.2,102716325,102716325,0,0,226391112.5,149046913.4,875871076,833849327.2,37827000,4194748.769,,,,,,,,,,,,,,,,,,,
 01/21  16:00:00,847050965.6,544478464.9,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,332925062.8,187636875.7,102716325,102716325,0,0,226391112.5,149046913.4,868388711.1,826366438.8,37827000,4195272.31,,,,,,,,,,,,,,,,,,,
 01/21  17:00:00,883465988.9,544352440,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,332799037.9,187520024,102716325,102716325,0,0,226391112.5,149046913.4,865218866.4,823197034.4,37827000,4194831.972,,,,,,,,,,,,,,,,,,,
 01/21  18:00:00,882509198.9,543763538.3,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,332210136.3,187152135.6,102716325,102716325,0,0,226391112.5,149046913.4,881878352.5,839856991.9,37827000,4194360.681,,,,,,,,,,,,,,,,,,,
 01/21  19:00:00,825806862.5,484025403.3,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,338584755.1,190187934.2,102716325,102716325,0,0,125772840.3,116344577.1,954137924.8,920522240.4,29421000,4194684.406,,,,,,,,,,,,,,,,,,,
 01/21  20:00:00,663623044.7,283448716.3,24980786.28,30999747.41,14816390.99,2426551.94,27312568.45,182912671.2,228580803.5,102716325,102716325,0,0,75463704.18,83642240.75,1006150139,980940859.6,21015000,4194279.063,,,,,,,,,,,,,,,,,,,
