Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:BAKERY [J](Hourly),Electricity:Zone:DELI [J](Hourly),Electricity:Zone:DRYSTORAGE [J](Hourly),Electricity:Zone:OFFICE [J](Hourly),Electricity:Zone:PRODUCE [J](Hourly),Electricity:Zone:SALES [J](Hourly),Electricity:Plant [J](Hourly),Electricity:HVAC [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),InteriorEquipment:Gas [J](Hourly),Water Heater:WaterSystems:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 01/02  03:00:00,325233788.7,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,94408465.02,43921708.22,43921708.22,0,0,12577284.03,32702336.3,108126234.9,95528762.64,8406000,4191472.206,,,,,,,,,,,,,,,,,,,
 01/02  04:00:00,310627666,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,94242381.29,29481669.27,29481669.27,0,0,12577284.03,32702336.3,82230306.93,73752306.93,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/02  05:00:00,350016809.3,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,117386711.6,45726482.31,45726482.31,0,0,12577284.03,32702336.3,136070193.2,127592193.2,8406000,72000,,,,,,,,,,,,,,,,,,,
 01/02  06:00:00,350937938,138026415.5,9339544.381,12122964.57,4577230.491,705545.483,9849493.152,101431637.4,115790312.1,48244010.5,48244010.5,0,0,12577284.03,32702336.3,130022077.9,117424675.3,8406000,4191402.521,,,,,,,,,,,,,,,,,,,
 01/02  07:00:00,496980415.7,220616817.3,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142533073.8,124770073.4,102716325,102716325,0,0,50309136.12,67291072.6,1626269589,1609385589,16812000,72000,,,,,,,,,,,,,,,,,,,
 01/02  08:00:00,517321512.8,220616817.3,19533857.52,25075154.27,11082069.42,1789769.956,20602892.34,142533073.8,157330470.6,102716325,102716325,0,0,50309136.12,67291072.6,1473225512,1452221404,16812000,4192107.864,,,,,,,,,,,,,,,,,,,
 01/02  09:00:00,754466811.9,467920777.9,35874643.81,42848933.69,22285034.14,3700115.908,40731920.66,322480129.7,183829709.1,102716325,102716325,0,0,125772840.3,116344577.1,1304362927,1274869927,29421000,72000,,,,,,,,,,,,,,,,,,,
 01/02  10:00:00,841716351.7,526380430.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,314827028.3,212619596.3,102716325,102716325,0,0,226391112.5,149046913.4,1156870718,1114850081,37827000,4193636.595,,,,,,,,,,,,,,,,,,,
 01/02  11:00:00,806723189.6,526380430.4,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,314827028.3,177626434.2,102716325,102716325,0,0,226391112.5,149046913.4,1070148984,1028127894,37827000,4194089.94,,,,,,,,,,,,,,,,,,,
 01/02  12:00:00,916904678.9,635437358,49566678.85,59940730.23,33608894.17,5731037.856,64815084.96,421774931.9,178750995.9,102716325,102716325,0,0,226391112.5,149046913.4,995696042.9,953673246.4,37827000,4195796.57,,,,,,,,,,,,,,,,,,,
 01/02  13:00:00,844209450.3,526384892.3,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,314831490.3,215108233,102716325,102716325,0,0,226391112.5,149046913.4,970425395,924278784.7,37827000,8319610.267,,,,,,,,,,,,,,,,,,,
 01/02  14:00:00,834162829.6,526906605.1,49566678.85,57831706.23,33608894.17,5731037.856,64815084.96,315353203,204539899.5,102716325,102716325,0,0,226391112.5,149046913.4,959697845.7,917675340.3,37827000,4195505.473,,,,,,,,,,,,,,,,,,,
