index,Biomass/biogas [MW],Solar [MW],Gas [MW],Other fuels [MW],Wind [MW],Water [MW],Lignite [MW],Hard coal [MW]
2019-03-01 00:00:00,1109.9,692.7,2655.2,632.9,5844.9,2383.3,9292.4,21902.8
2019-04-01 00:00:00,1117.6,730.1,2657.7,633.5,5853.5,2383.1,9292.4,21979.7
2019-05-01 00:00:00,1141.5,814.0,2659.3,633.0,5866.4,2383.2,9292.4,22910.2
2019-06-01 00:00:00,1133.5,925.6,2664.2,632.9,5860.4,2383.1,9292.4,22915.5
2019-07-01 00:00:00,1133.5,1000.7,2654.7,632.9,5870.4,2383.1,9292.4,22916.4
2019-08-01 00:00:00,1134.0,1047.5,2654.2,632.9,5876.9,2384.1,9292.4,22916.6
2019-09-01 00:00:00,1132.0,1130.7,2658.1,577.9,5880.2,2383.8,8922.4,23874.6
2019-10-01 00:00:00,1132.0,1218.3,2703.8,577.9,5891.6,2382.9,9292.4,23871.3
2019-11-01 00:00:00,1132.0,1348.0,2701.3,580.4,5890.2,2382.9,9292.4,23866.9
2019-12-01 00:00:00,1133.7,1526.2,2701.7,577.9,5898.1,2382.8,9292.4,23870.4
2020-01-01 00:00:00,1134.6,1568.6,2699.6,578.7,5971.0,2382.7,9292.4,23860.1
2020-02-01 00:00:00,1134.4,1762.0,2700.3,578.8,5904.5,2382.8,9292.4,23881.9
2020-03-01 00:00:00,1135.1,1901.6,2701.0,578.8,5920.1,2383.4,9292.4,23888.1
2020-04-01 00:00:00,1136.7,2063.1,2701.0,578.8,5938.9,2383.4,9292.4,23888.1
