Date/Time,Electricity:Facility [J](Hourly),Electricity:Building [J](Hourly),Electricity:Zone:LGSTORE1 [J](Hourly),Electricity:Zone:LGSTORE2 [J](Hourly),Electricity:Zone:SMSTORE1 [J](Hourly),Electricity:Zone:SMSTORE2 [J](Hourly),Electricity:Zone:SMSTORE3 [J](Hourly),Electricity:Zone:SMSTORE4 [J](Hourly),Electricity:Zone:SMSTORE5 [J](Hourly),Electricity:Zone:SMSTORE6 [J](Hourly),Electricity:Zone:SMSTORE7 [J](Hourly),Electricity:Zone:SMSTORE8 [J](Hourly),Electricity:HVAC [J](Hourly),Electricity:Plant [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),Electricity:Facility [J](Monthly),Gas:Facility [J](Monthly),CO2:Facility [kg](Monthly),CO:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),SO2:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM10:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly),Carbon Equivalent:Facility [kg](Monthly) 
 09/22  20:00:00,158018681.6,88326403.99,18819136.56,12410220.34,9409568.278,7622346.046,7622346.046,7622346.046,6205110.17,6205110.17,6205110.17,6205110.17,28346277.65,0,28346277.65,0,0,65675713.81,22650690.18,0,0,,,,,,,,,,,,,,,,,,,
 09/22  21:00:00,80559537.06,39213537.06,8174817.199,5611250.713,4087408.599,3372519.707,3372519.707,3372519.707,2805625.356,2805625.356,2805625.356,2805625.356,0,0,0,0,0,26270285.52,12943251.53,0,0,,,,,,,,,,,,,,,,,,,
 09/22  22:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/22  23:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/22  24:00:00,54385197.15,13039197.15,2583006.447,1942114.825,1291503.223,1112781,1112781,1112781,971057.4127,971057.4127,971057.4127,971057.4127,0,0,0,0,0,6567571.381,6471625.766,0,0,,,,,,,,,,,,,,,,,,,
 09/23  01:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/23  02:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/23  03:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/23  04:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
 09/23  05:00:00,52767290.71,11421290.71,2313355.373,1672463.752,1156677.687,977955.4634,977955.4634,977955.4634,836231.8759,836231.8759,836231.8759,836231.8759,0,0,0,0,0,6567571.381,4853719.325,0,0,,,,,,,,,,,,,,,,,,,
